"Id","IsDeleted","Name","CurrencyIsoCode","SBQQ__AppliedImmediatelyContext__c","SBQQ__AppliedImmediately__c","SBQQ__Bundled__c","SBQQ__ComponentCodePosition__c","SBQQ__ComponentCode__c","SBQQ__ComponentDescriptionPosition__c","SBQQ__ComponentDescription__c","SBQQ__ConfiguredSKU__c","SBQQ__DefaultPricingTable__c","SBQQ__DiscountAmount__c","SBQQ__DiscountSchedule__c","SBQQ__Discount__c","SBQQ__DiscountedByPackage__c","SBQQ__ExistingQuantity__c","SBQQ__Feature__c","SBQQ__MaxQuantity__c","SBQQ__MinQuantity__c","SBQQ__Number__c","SBQQ__OptionalSKU__c","SBQQ__PriceEditable__c","SBQQ__ProductCode__c","SBQQ__ProductConfigurationType__c","SBQQ__ProductDescription__c","SBQQ__ProductFamily__c","SBQQ__ProductName__c","SBQQ__ProductQuantityScale__c","SBQQ__QuantityEditable__c","SBQQ__Quantity__c","SBQQ__QuoteLineVisibility__c","SBQQ__Required__c","SBQQ__Selected__c","SBQQ__SubscriptionScope__c","SBQQ__System__c","SBQQ__Type__c","SBQQ__UnitPrice__c","SBQQ__UpliftedByPackage__c","SBQQ__ProductSubscriptionPricing__c","Memory_Config__c","Hide_Option__c","OSKUProduct_Line__c","FeatureName__c","Image__c","UsPerUnit__c","SBQQ__RenewalProductOption__c","Configuration__c","IsServer__c","Engineering_Options__c","Resource_Location__c","Assumptions_Comments_PM__c","Assumptions_Comments_ER__c","Assumptions_Comments_SA__c","Role__c","Role_Description__c","Cable_Length__c","Deployment__c","Number_of_Areas__c","Area__c","Percent_of_Total__c","Number_of_Sections_and_Subsections__c","Number_of__c"
"a0b1N00000CoL8kQAF","false","PO-000142","USD",,"false","false",,,,,"01t1N00000EURKdQAP",,,,,"false",,"a0a1N0000085v3ZQAQ",,"2.0","350.0","01t1N00000EURKnQAP","No","SV-ISE",,"Our certified Integration Specialist Engineers bring a wealth of application expertise and integration experience to ensure the client's other systems are connected.","Services","Integration Specialist Engineer",,"true","2.0",,"false","false",,"false","Related Product",,"false",,"Performance Optimized","false",,"Engineering Resources","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ov&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000142"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Integration Specialist Engineer","Our certified Integration Specialist Engineers bring a wealth of application expertise and integration experience to ensure the client's other systems are connected.",,,,,"0%",,
"a0b1N00000CoL8lQAF","false","PO-000113","USD",,"false","false",,,,,"01t1N00000EURKoQAP",,,,,"false",,"a0a1N0000085v3cQAA",,"1.0","110.0","01t1N00000EURKmQAP","No","S-TE-ADM",,"Perpetual license for one (1) Time and Expense Administrator.","Software","TE Suite Perpetual Admin License",,"true","1.0",,"true","true",,"false","Component",,"false",,"Performance Optimized","false","License","Licenses","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p7&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000113"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"TE Suite Perpetual Admin License","Perpetual license for one (1) Time and Expense Administrator.",,,,,"0%",,
"a0b1N00000CoL8mQAF","false","PO-000114","USD",,"false","false",,,,,"01t1N00000EURKoQAP",,,,,"false",,"a0a1N0000085v3cQAA",,"10.0","120.0","01t1N00000EURKpQAP","No","S-TE-TEPL",,"Perpetual license for one (1) Time and Expense user.","Software","TE Suite Perpetual Time and Expense License",,"true","350.0",,"true","true",,"false","Component",,"false",,"Performance Optimized","false","License","Licenses","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p3&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000114"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"TE Suite Perpetual Time and Expense License","Perpetual license for one (1) Time and Expense user.",,,,,"0%",,
"a0b1N00000CoL8nQAF","false","PO-000128","USD",,"false","false",,,,,"01t1N00000EURKoQAP",,,,,"false",,"a0a1N0000085v40QAA",,,"610.0","01t1N00000EURKcQAP","No","S-TE-ADTR",,"Online Admin Training for the Time & Expense Suite","Services","T&E Admin Training",,"true","1.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Training","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p4&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000128"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"T&E Admin Training","Online Admin Training for the Time & Expense Suite",,,,,"0%",,
"a0b1N00000CoL8oQAF","false","PO-000132","USD",,"false","false",,,,,"01t1N00000EURKoQAP",,,,,"false",,"a0a1N0000085v41QAA",,"10.0","720.0","01t1N00000EURKjQAP","No","SV-PSH",,"Consulting implementation package managed by in-house professional services. Rate is a blended rate with both time and materials.","Services","Professional Services Hours (Blended Rate)",,"true","25.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Services","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pS&amp;oid=00D41000000emZ2&amp;lastMod=1478804180000"" alt=""PO-000132"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Professional Services Hours (Blended Rate)","Consulting implementation package managed by in-house professional services. Rate is a blended rate with both time and materials.",,,,,"0%",,
"a0b1N00000CoL8pQAF","false","PO-000123","USD",,"false","false",,,,,"01t1N00000EURKoQAP",,,,,"false",,"a0a1N0000085v3yQAA",,,"410.0","01t1N00000EURKqQAP","No","H-SVR-HP","Required","HP ProLiant rack and tower servers are industry's trusted multi-workload optimized servers, built to meet the business needs of today and tomorrow.","Hardware","HP Proliant Server",,"true","1.0",,"false","true",,"false","Related Product",,"false",,"Performance Optimized","false",,"Hardware","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4om&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000123"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"HP Proliant Server","HP ProLiant rack and tower servers are industry's trusted multi-workload optimized servers, built to meet the business needs of today and tomorrow.",,,,,"0%",,
"a0b1N00000CoL8qQAF","false","PO-000158","USD",,"false","false",,,,,"01t1N00000EURKqQAP",,,,,"false",,"a0a1N0000085v47QAA","1.0","1.0","110.0","01t1N00000EURKrQAP","No","INTEL E5-2667","Disabled","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","Hardware","Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)",,"false","1.0",,"false","true",,"false","Component",,"false",,"Performance Optimized","false",,"Processor","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oo&amp;oid=00D41000000emZ2"" alt=""PO-000158"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,"Onsite",,,,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,"Hosted",,,"0%",,
"a0b1N00000CoL8rQAF","false","PO-000166","USD",,"false","false","3.0","4T",,,"01t1N00000EURKqQAP",,,,,"false",,"a0a1N0000085v49QAA","1.0","0.0","320.0","01t1N00000EURKsQAP","No","HD 4TB","Disabled","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems","Hardware","4TB 7.2k RPM NLSAS 12Gps 3.5 in",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Hard Drive","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4on&amp;oid=00D41000000emZ2"" alt=""PO-000166"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"4TB 7.2k RPM NLSAS 12Gps 3.5 in","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems",,"Hosted",,,"0%",,
"a0b1N00000CoL8sQAF","false","PO-000170","USD",,"false","false","4.0","SFP",,,"01t1N00000EURKqQAP",,,,,"false",,"a0a1N0000085v4AQAQ","1.0","0.0","410.0","01t1N00000EURKtQAP","No","BET X710SFP","Disabled","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.","Hardware","Intel X710 Dual Port 10Gb SFP",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Network Adapter","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ot&amp;oid=00D41000000emZ2"" alt=""PO-000170"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Intel X710 Dual Port 10Gb SFP","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.",,"Hosted",,,"0%",,
"a0b1N00000CoL8tQAF","false","PO-000164","USD",,"false","false","2.0","32GB",,,"01t1N00000EURKqQAP",,,,,"false",,"a0a1N0000085v48QAA","8.0","1.0","230.0","01t1N00000EURKuQAP","No","MEM 32GB","Disabled","32GB RDIMM, 2133 MT/s, Low Volt, Dual Rank, x4 Data Width","Hardware","32GB RDIMM, 2133MT/s",,"true","1.0",,"false","false",,"false","Component",,"false",,,"false",,"Memory Capacity","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oy&amp;oid=00D41000000emZ2"" alt=""PO-000164"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"32GB RDIMM, 2133MT/s","32GB RDIMM, 2133 MT/s, Low Volt, Dual Rank, x4 Data Width",,"Hosted",,,"0%",,
"a0b1N00000CoL8uQAF","false","PO-000031","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3fQAA",,,"510.0","01t1N00000EURKwQAP","No","BSSA-4306","Disabled","Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.","Hardware","Roof Fan Tray 750mm - 120V",,"true","1.0","Always","false","true",,"false","Component",,"false",,,"false",,"Air Distribution","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pI&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000031"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Roof Fan Tray 750mm - 120V","Roof Fan Tray promotes bottom to top airflow for an enclosure in zero U of space. It cools by exhausting heat out of the roof of the rack.",,,,,"0%",,
"a0b1N00000CoL8vQAF","false","PO-000001","USD",,"false","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3dQAA",,,"120.0","01t1N00000EURKxQAP","No","BMX-1050","Disabled","MaxShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system.  Holds 8 rack units (U's) for a vertical storage rack.","Hardware","MaxShell 8U 600mmx1070mm",,"true","1.0","Always","false","false",,"false","Component",,"false",,,"false",,"Base","<img src=""https://c.na35.content.force.com/servlet/servlet.FileDownload?file=01541000000sUQt"" alt=""PO-000001"" style=""height:55px; width:55px;"" border=""0""/>","8.0",,,"false",,,,,,"MaxShell 8U 600mmx1070mm","MaxShell cooling, power distribution, and cable management products work seamlessly with IT enclosures to provide a complete infrastructure support system.  Holds 8 rack units (U's) for a vertical storage rack.",,,,,"0%",,
"a0b1N00000CoL8wQAF","false","PO-000092","USD","Always","true","false",,,,,"01t1N00000EURKvQAP",,,,,"false",,"a0a1N0000085v3jQAA",,,"220.0","01t1N00000EURKyQAP","No","PS-R750","Allowed","The PowerSlide server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.","Hardware","PowerSlide R750 Rack Server",,"true","1.0","Always","false","false",,"false","Component",,"false",,"Performance Optimized","false","Server Slot","Slot Configuration","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4pR&amp;oid=00D41000000emZ2&amp;lastMod=1478804180000"" alt=""PO-000092"" style=""height:55px; width:55px;"" border=""0""/>","2.0",,,"true",,,,,,"PowerSlide R750 Rack Server","The PowerSlide server is designed to bring excellent performance, expandability and deployment flexibility to organizations that must deploy multiple integrated servers in a minimum amount of space at a low cost.",,,,,"0%",,
"a0b1N00000CoL8xQAF","false","PO-000058","USD",,"false","false","1.0","2667",,,"01t1N00000EURKyQAP",,,,,"false",,"a0a1N0000085v3lQAA","1.0","1.0","110.0","01t1N00000EURKrQAP","No","INTEL E5-2667","Disabled","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.","Hardware","Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Processor","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oo&amp;oid=00D41000000emZ2"" alt=""PO-000058"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Intel Xeon E5-2667 v4 3.2GHz,25M Cache,9.60GT/s 8C/16T (135W)","Designed for software defined infrastructure supercharged for efficiency, performance, and agile services delivery across cloud-native and traditional applications.",,,,,"0%",,
"a0b1N00000CoL8XQAV","false","PO-000098","USD",,"false","false",,,,,"01t1N00000EURLpQAP",,,,,"false",,"a0a1N0000085v3tQAA",,,"210.0","01t1N00000EURKZQA5","No","S-TE-REPX",,"Module that enables the export of your Time and Expense data to Access, Excel, and JDBC Databases.","Software","Report Exporting Tools",,"false","1.0",,"false","false",,"false","Component",,"false","Fixed Price","Performance Optimized","false",,"Add-Ons","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4p1&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000098"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Report Exporting Tools","Module that enables the export of your Time and Expense data to Access, Excel, and JDBC Databases.",,,,,"0%",,
"a0b1N00000CoL8yQAF","false","PO-000069","USD",,"false","false","2.0","16GB",,,"01t1N00000EURKyQAP",,,,,"false",,"a0a1N0000085v3YQAQ","8.0","1.0","220.0","01t1N00000EURKzQAP","No","MEM 16GB","Disabled","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width","Hardware","16GB RDIMM, 2133MT/s",,"true","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Memory Capacity","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oy&amp;oid=00D41000000emZ2"" alt=""PO-000069"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"16GB RDIMM, 2133MT/s","16GB RDIMM, 2133MT/s, Dual Rank, x4 Data Width",,,,,"0%",,
"a0b1N00000CoL8YQAV","false","PO-000101","USD",,"false","false",,,,,"01t1N00000EURLpQAP",,,,,"false",,"a0a1N0000085v3tQAA",,,"230.0","01t1N00000EURKaQAP","No","S-TE-PAYU",,"Automatically Reimburse an Unlimited Number of Expense Reports from Credit Card, ACH, or Wire Sources to ACH Accounts.","Software","Expense Reimbursement Unlimited",,"false","1.0",,"false","false",,"false","Component",,"false","Fixed Price","Performance Optimized","false",,"Add-Ons","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ok&amp;oid=00D41000000emZ2&amp;lastMod=1478804179000"" alt=""PO-000101"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Expense Reimbursement Unlimited","Automatically Reimburse an Unlimited Number of Expense Reports from Credit Card, ACH, or Wire Sources to ACH Accounts.",,,,,"0%",,
"a0b1N00000CoL8zQAF","false","PO-000073","USD",,"false","false","3.0","4T",,,"01t1N00000EURKyQAP",,,,,"false",,"a0a1N0000085v3mQAA","1.0","0.0","320.0","01t1N00000EURKsQAP","No","HD 4TB","Disabled","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems","Hardware","4TB 7.2k RPM NLSAS 12Gps 3.5 in",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Hard Drive","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4on&amp;oid=00D41000000emZ2"" alt=""PO-000073"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"4TB 7.2k RPM NLSAS 12Gps 3.5 in","Industry-leading rotational vibration tolerance design helps ensure consistent performance in dense multi-drive systems",,,,,"0%",,
"a0b1N00000CoL8ZQAV","false","PO-000102","USD",,"false","false",,,,,"01t1N00000EURLpQAP",,,,,"false",,"a0a1N0000085v3tQAA",,,"240.0","01t1N00000EURKbQAP","No","S-TE-BILL",,"This module allows users to reduce billing errors and eliminate inefficiencies with accurate time tracking.","Software","Billing Hours Tracking",,"false","1.0",,"false","false",,"false","Component",,"false","Fixed Price","Performance Optimized","false",,"Add-Ons","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4oh&amp;oid=00D41000000emZ2&amp;lastMod=1478804178000"" alt=""PO-000102"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Billing Hours Tracking","This module allows users to reduce billing errors and eliminate inefficiencies with accurate time tracking.",,,,,"0%",,
"a0b1N00000CoL90QAF","false","PO-000077","USD",,"false","false","4.0","SFP",,,"01t1N00000EURKyQAP",,,,,"false",,"a0a1N0000085v3nQAA","1.0","0.0","420.0","01t1N00000EURKtQAP","No","BET X710SFP","Disabled","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.","Hardware","Intel X710 Dual Port 10Gb SFP",,"false","1.0",,"false","true",,"false","Component",,"false",,,"false",,"Network Adapter","<img src=""https://c.na35.content.force.com/servlet/servlet.ImageServer?id=01541000000H4ot&amp;oid=00D41000000emZ2"" alt=""PO-000077"" style=""height:55px; width:55px;"" border=""0""/>","0.0",,,"false",,,,,,"Intel X710 Dual Port 10Gb SFP","Delivers superior performance with a theretical thoughtput of 80 Gb/s bidirectional thoughput.",,,,,"0%",,
